Title,Genre,Premiere,Runtime,IMDB Score,Language,Release Year,Decade,IMDB Category,Language Group,Genre Group
Rim of the World,Science Fiction Adventure,2019-05-24,98,5.2,English,2019.0,2010.0,Average,English,Action/Adventure
Sandy Wexler,Comedy,2017-04-14,131,5.2,English,2017.0,2010.0,Average,English,Comedy
See You Yesterday,Science Fiction,2019-05-17,87,5.2,English,2019.0,2010.0,Average,English,Other
Still Laugh-In: The Stars Celebrate,Variety Show,2019-05-14,60,5.2,English,2019.0,2010.0,Average,English,Other
"Strip Down, Rise Up",Documentary,2021-02-05,112,5.2,English,2021.0,2020.0,Average,English,Documentary
Tall Girl,Comedy-Drama,2019-09-13,102,5.2,English,2019.0,2010.0,Average,English,Drama/Romance
The Beast,Drama,2020-11-27,99,5.2,Italian,2020.0,2020.0,Average,Non-English,Drama/Romance
The Week Of,Comedy,2018-04-27,116,5.2,English,2018.0,2010.0,Average,English,Comedy
A Christmas Prince: The Royal Wedding,Romantic Comedy,2018-11-30,92,5.3,English,2018.0,2010.0,Average,English,Comedy
Back to School,Comedy,2019-08-30,83,5.3,French,2019.0,2010.0,Average,Non-English,Comedy
Dangerous Lies,Thriller,2020-04-30,97,5.3,English,2020.0,2020.0,Average,English,Thriller/Horror
Gunjan Saxena: The Kargil Girl,Drama,2020-08-12,112,5.3,Hindi,2020.0,2020.0,Average,Non-English,Drama/Romance
Intuition,Thriller,2020-05-28,116,5.3,Spanish,2020.0,2020.0,Average,Non-English,Thriller/Horror
The Most Assassinated Woman in the World,Thriller,2018-09-07,102,5.3,French,2018.0,2010.0,Average,Non-English,Thriller/Horror
Things Heard & Seen,Horror,2021-04-29,121,5.3,English,2021.0,2020.0,Average,English,Thriller/Horror
"To Each, Her Own",Romantic Comedy,2018-06-24,95,5.3,French,2018.0,2010.0,Average,Non-English,Comedy
Who Would You Take to a Deserted Island?,Drama,2019-04-12,93,5.3,Spanish,2019.0,2010.0,Average,Non-English,Drama/Romance
XOXO,Drama,2016-08-26,92,5.3,English,2016.0,2010.0,Average,English,Drama/Romance
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,2020-10-15,98,5.4,English,2020.0,2020.0,Average,English,Comedy
A Christmas Prince: The Royal Baby,Romantic Comedy,2019-12-05,85,5.4,English,2019.0,2010.0,Average,English,Comedy
